,DTime,ElapsedTime,T1,T1_time,HeaterValues
0,1606767557.7019196,0.8763246536254883,24.45,0.0,0.0
1,1606767558.7834725,1.9578776359558105,24.45,1.0,0.0
2,1606767559.864903,3.0393080711364746,24.45,2.0,0.0
3,1606767560.9461277,4.120532751083374,24.45,3.0,0.0
4,1606767562.017518,5.191923141479492,24.45,4.0,0.0
5,1606767563.088818,6.263223171234131,24.45,5.0,0.0
6,1606767564.1600356,7.3344407081604,24.45,6.0,0.0
7,1606767565.2208552,8.395260334014893,24.45,7.0,0.0
8,1606767566.29206,9.46646499633789,24.45,8.0,0.0
9,1606767567.362726,10.537131071090698,24.45,9.0,0.0
10,1606767568.444659,11.619064092636108,24.45,10.0,0.0
11,1606767569.5151372,12.689542293548584,24.45,11.0,0.0
12,1606767570.597048,13.771453142166138,24.45,12.0,0.0
13,1606767571.6780982,14.852503299713135,24.45,13.0,0.0
14,1606767572.7496436,15.924048662185669,24.45,14.0,0.0
15,1606767573.8508434,17.025248527526855,24.45,15.0,20.0
16,1606767574.9623773,18.13678240776062,24.45,16.0,20.0
17,1606767576.0737612,19.24816632270813,24.45,17.0,20.0
18,1606767577.1749318,20.349336862564087,24.45,18.0,20.0
19,1606767578.2859852,21.460390329360962,24.13,19.0,20.0
20,1606767579.3965616,22.570966720581055,24.45,20.0,20.0
21,1606767580.4973915,23.671796560287476,24.45,21.0,20.0
22,1606767581.5993195,24.77372455596924,24.45,22.0,20.0
23,1606767582.7096982,25.884103298187256,24.45,23.0,20.0
24,1606767583.8317933,27.006198406219482,24.45,24.0,20.0
25,1606767584.9430296,28.11743474006653,24.45,25.0,20.0
26,1606767586.0443203,29.218725442886353,24.45,26.0,20.0
27,1606767587.1559289,30.330333948135376,24.45,27.0,20.0
28,1606767588.2672987,31.44170379638672,24.45,28.0,20.0
29,1606767589.3680224,32.54242753982544,24.45,29.0,20.0
30,1606767590.4794805,33.65388560295105,24.45,30.0,20.0
31,1606767591.5909805,34.76538562774658,24.45,31.0,20.0
32,1606767592.7022066,35.87661170959473,24.45,32.0,20.0
33,1606767593.8136122,36.988017320632935,24.77,33.0,20.0
34,1606767594.9250927,38.09949779510498,24.77,34.0,20.0
35,1606767596.0366914,39.21109652519226,24.77,35.0,20.0
36,1606767597.137861,40.3122661113739,24.77,36.0,20.0
37,1606767598.2491927,41.42359781265259,24.77,37.0,20.0
38,1606767599.3600705,42.534475564956665,24.77,38.0,20.0
39,1606767600.4617827,43.63618779182434,24.77,39.0,20.0
40,1606767601.5731509,44.74755597114563,25.1,40.0,20.0
41,1606767602.6840963,45.85850143432617,25.1,41.0,20.0
42,1606767603.7854152,46.95982027053833,25.1,42.0,20.0
43,1606767604.896484,48.07088899612427,25.1,43.0,20.0
44,1606767606.0077097,49.18211483955383,25.1,44.0,20.0
45,1606767607.1082206,50.282625675201416,25.1,45.0,20.0
46,1606767608.2402372,51.414642333984375,25.1,46.0,20.0
47,1606767609.3522387,52.52664375305176,25.1,47.0,20.0
48,1606767610.4536088,53.62801384925842,25.42,48.0,20.0
49,1606767611.554729,54.72913408279419,25.42,49.0,20.0
50,1606767612.664774,55.839179039001465,25.42,50.0,20.0
51,1606767613.7767162,56.95112133026123,25.42,51.0,20.0
52,1606767614.8787978,58.053202867507935,25.74,52.0,20.0
53,1606767615.9797344,59.15413951873779,25.74,53.0,20.0
54,1606767617.0903723,60.264777421951294,25.74,54.0,20.0
55,1606767618.19192,61.36632513999939,24.77,55.0,20.0
56,1606767619.3032172,62.477622270584106,25.74,56.0,20.0
57,1606767620.414642,63.58904719352722,25.74,57.0,20.0
58,1606767621.5156252,64.69003033638,26.06,58.0,20.0
59,1606767622.6170275,65.79143261909485,26.06,59.0,20.0
60,1606767623.7281327,66.90253782272339,26.06,60.0,20.0
61,1606767624.8291368,68.00354194641113,26.06,61.0,20.0
62,1606767625.9406152,69.11502027511597,26.39,62.0,20.0
63,1606767627.0519266,70.22633171081543,26.39,63.0,20.0
64,1606767628.1632338,71.33763885498047,26.39,64.0,20.0
65,1606767629.2642443,72.43864941596985,26.39,65.0,20.0
66,1606767630.3757248,73.5501298904419,26.39,66.0,20.0
67,1606767631.4869897,74.66139483451843,26.71,67.0,20.0
68,1606767632.5982604,75.77266550064087,26.71,68.0,20.0
69,1606767633.7097378,76.88414287567139,26.71,69.0,20.0
70,1606767634.8199952,77.99440026283264,26.71,70.0,20.0
71,1606767635.9327767,79.10718178749084,26.71,71.0,20.0
72,1606767637.0440392,80.21844434738159,27.03,72.0,20.0
73,1606767638.1450443,81.31944942474365,27.03,73.0,20.0
74,1606767639.2562828,82.43068790435791,27.03,74.0,20.0
75,1606767640.367276,83.54168105125427,27.03,75.0,20.0
76,1606767641.468714,84.64311909675598,27.03,76.0,20.0
77,1606767642.5800436,85.75444865226746,27.03,77.0,20.0
78,1606767643.6809692,86.85537433624268,27.35,78.0,20.0
79,1606767644.782268,87.95667314529419,27.35,79.0,20.0
80,1606767645.8937788,89.06818389892578,27.35,80.0,20.0
81,1606767647.0050325,90.1794376373291,27.35,81.0,20.0
82,1606767648.1166027,91.29100775718689,27.35,82.0,20.0
83,1606767649.2276149,92.40201997756958,27.35,83.0,20.0
84,1606767650.3286297,93.50303483009338,27.67,84.0,20.0
85,1606767651.4399648,94.61436986923218,27.67,85.0,20.0
86,1606767652.5510294,95.72543454170227,27.67,86.0,20.0
87,1606767653.6626825,96.83708763122559,27.67,87.0,20.0
